gender,total_words,theme,theme_keyword_count,theme_keyword_normalized_term_frequency,theme_cSFIDF,id
men,6191347,Characterization,81225,0.013119116082493842,0.4109844102272623,point estimate
men,6191347,Clothing/Makeup/Appearance ,8684,0.0014026026969575442,0.21823828750406268,point estimate
men,6191347,Drugs and Addiction,33323,0.005382189045453276,0.33504497118728854,point estimate
men,6191347,Emotions,8984,0.0014510574193305594,0.21955070270430405,point estimate
men,6191347,Explicit Reference to Defendant’s Gender ,8276,0.0013367042745302436,0.20177711861233436,point estimate
men,6191347,Figurative/Metaphorical Language,10565,0.0017064138062363487,0.23500219807201458,point estimate
men,6191347,Gender and Gender Roles,38482,0.006215448754527892,0.33601485662750663,point estimate
men,6191347,Immigration,16671,0.00269262892226845,0.27249370950246654,point estimate
men,6191347,Intimate Partner Relationships,10069,0.0016263019985796306,0.22267285790103994,point estimate
men,6191347,Mental Health/Mental Disability,66473,0.010736435867671446,0.40818017434077636,point estimate
men,6191347,Parenting Language,149422,0.024134005088068882,0.4696756993735752,point estimate
men,6191347,Racial Tropes,15957,0.002577306683020674,0.27294784626163865,point estimate
men,6191347,Religion ,7846,0.0012672525057955885,0.2132886017620802,point estimate
men,6191347,Sexual Language,30267,0.004888596940213495,0.3127127971400278,point estimate
men,6191347,Sexuality,481,7.768907153806756e-05,0.06926954941605683,point estimate
men,6191347,Socioeconomic Status/Spending/Poverty,10168,0.0016422920569627256,0.2213887866132835,point estimate
men,6191347,Testimony re Gender-Based Violence ,19828,0.0032025341173738124,0.2853166938828782,point estimate
men,6191347,Women’s Non-Domestic Work,11117,0.0017955704954026965,0.24013445420025029,point estimate
women,8486093,Characterization,127452,0.015018925670505851,0.43973647907662117,point estimate
women,8486093,Clothing/Makeup/Appearance ,13001,0.0015320360029049882,0.22808572009372252,point estimate
women,8486093,Drugs and Addiction,43726,0.005152665661335552,0.3278231443868403,point estimate
women,8486093,Emotions,14131,0.0016651950432313197,0.2351933765741034,point estimate
women,8486093,Explicit Reference to Defendant’s Gender ,21272,0.0025066894741785175,0.2763150347738196,point estimate
women,8486093,Figurative/Metaphorical Language,14348,0.0016907662925683235,0.23392225228602886,point estimate
women,8486093,Gender and Gender Roles,66420,0.007826923414579596,0.37706634991237264,point estimate
women,8486093,Immigration,21991,0.0025914163325808474,0.2673233061679681,point estimate
women,8486093,Intimate Partner Relationships,19399,0.0022859754188411558,0.2639991103346076,point estimate
women,8486093,Mental Health/Mental Disability,79183,0.009330913531114966,0.38052563744348983,point estimate
women,8486093,Parenting Language,225781,0.026606001136211917,0.49314336399911085,point estimate
women,8486093,Racial Tropes,18136,0.002137143677308274,0.2485498365807155,point estimate
women,8486093,Religion ,10546,0.0012427391498066307,0.21121563240909622,point estimate
women,8486093,Sexual Language,54497,0.0064219187793487535,0.35841480664760306,point estimate
women,8486093,Sexuality,2355,0.0002775128672287706,0.13091938583811108,point estimate
women,8486093,Socioeconomic Status/Spending/Poverty,21087,0.002484889100319782,0.2723227533105138,point estimate
women,8486093,Testimony re Gender-Based Violence ,27907,0.0032885569366256063,0.28912322740336316,point estimate
women,8486093,Women’s Non-Domestic Work,14350,0.001691001972285715,0.2330372267696116,point estimate
men,6201750,Characterization,81071,0.013072277986052323,0.4093939566126175,bootstrap 1
men,6201750,Clothing/Makeup/Appearance ,8829,0.0014236304268956342,0.220472743049839,bootstrap 1
men,6201750,Drugs and Addiction,33404,0.005386221630991252,0.335316245495396,bootstrap 1
men,6201750,Emotions,8380,0.0013512315072358608,0.2121651722600971,bootstrap 1
men,6201750,Explicit Reference to Defendant’s Gender ,7909,0.0012752852017575685,0.19794139344425993,bootstrap 1
men,6201750,Figurative/Metaphorical Language,10401,0.0016771072681098075,0.2331507566152703,bootstrap 1
men,6201750,Gender and Gender Roles,38947,0.0062800016124480995,0.3376274307155265,bootstrap 1
men,6201750,Immigration,16441,0.0026510259201031968,0.27140442872067433,bootstrap 1
men,6201750,Intimate Partner Relationships,10356,0.0016698512516628372,0.22633307928760618,bootstrap 1
men,6201750,Mental Health/Mental Disability,67675,0.010912242512194139,0.41039814977711836,bootstrap 1
men,6201750,Parenting Language,148593,0.02395985004232676,0.4690381619198235,bootstrap 1
men,6201750,Racial Tropes,15732,0.002536703349860926,0.27109569895771735,bootstrap 1
men,6201750,Religion ,7798,0.001257387027855041,0.21372865586440445,bootstrap 1
men,6201750,Sexual Language,29820,0.004808320232192526,0.3114773227788006,bootstrap 1
men,6201750,Sexuality,605,9.755311000927157e-05,0.0770162323785964,bootstrap 1
men,6201750,Socioeconomic Status/Spending/Poverty,10201,0.0016448583061232716,0.22100582943793803,bootstrap 1
men,6201750,Testimony re Gender-Based Violence ,20355,0.0032821381061797074,0.2891705834274226,bootstrap 1
men,6201750,Women’s Non-Domestic Work,11365,0.0018325472648849117,0.24134495047788368,bootstrap 1
women,8488574,Characterization,129404,0.015244492184435219,0.44210178771395137,bootstrap 1
