gender,total_words,theme,theme_keyword_count,theme_keyword_normalized_term_frequency,theme_cSFIDF,id
men,1147050,Characterization,15523,0.01353297589468637,0.4240222156960565,point estimate
men,1147050,Clothing/Makeup/Appearance ,1832,0.0015971404908242885,0.2339567689294784,point estimate
men,1147050,Drugs and Addiction,6727,0.005864609214942679,0.367508381030081,point estimate
men,1147050,Emotions,2283,0.0019903230024846345,0.2536943213622887,point estimate
men,1147050,Explicit Reference to Defendant’s Gender ,1805,0.0015736018482193452,0.2250445682067479,point estimate
men,1147050,Figurative/Metaphorical Language,1599,0.0013940107231594089,0.20975208218329605,point estimate
men,1147050,Gender and Gender Roles,7658,0.006676256484024236,0.34808848165553835,point estimate
men,1147050,Immigration,2969,0.0025883788849657818,0.27015864231203707,point estimate
men,1147050,Intimate Partner Relationships,2637,0.0022989407610827777,0.26346788230241214,point estimate
men,1147050,Mental Health/Mental Disability,16380,0.014280109846998823,0.4632196597964836,point estimate
men,1147050,Parenting Language,39809,0.03470554901704372,0.5297032925871678,point estimate
men,1147050,Racial Tropes,2023,0.0017636545922148118,0.23863103475173839,point estimate
men,1147050,Religion ,1594,0.0013896517152696046,0.22257814877852286,point estimate
men,1147050,Sexual Language,5750,0.005012859073274923,0.33119508799538444,point estimate
men,1147050,Sexuality,66,5.7538904145416505e-05,0.06298265955725181,point estimate
men,1147050,Socioeconomic Status/Spending/Poverty,2041,0.0017793470206181074,0.233483823979683,point estimate
men,1147050,Testimony re Gender-Based Violence ,3934,0.003429667407698008,0.2984073032086602,point estimate
men,1147050,Women’s Non-Domestic Work,2838,0.00247417287825291,0.2724481232764991,point estimate
women,2791462,Characterization,37299,0.013361815421452988,0.42133223881791215,point estimate
women,2791462,Clothing/Makeup/Appearance ,3832,0.001372757357972274,0.2169006956747527,point estimate
women,2791462,Drugs and Addiction,9631,0.0034501633910832387,0.2818821268919807,point estimate
women,2791462,Emotions,4418,0.0015826831961173035,0.22622779405235485,point estimate
women,2791462,Explicit Reference to Defendant’s Gender ,4987,0.001786519035544815,0.23978661148387678,point estimate
women,2791462,Figurative/Metaphorical Language,5580,0.001998952520220587,0.2511738733127421,point estimate
women,2791462,Gender and Gender Roles,20547,0.0073606590381670965,0.36549504748614253,point estimate
women,2791462,Immigration,6810,0.002439581839193942,0.2622784671064206,point estimate
women,2791462,Intimate Partner Relationships,5485,0.001964920174446222,0.24357698264776861,point estimate
women,2791462,Mental Health/Mental Disability,25300,0.009063351032541371,0.36903334491035683,point estimate
women,2791462,Parenting Language,81949,0.029357017935404458,0.4871796982123078,point estimate
women,2791462,Racial Tropes,4707,0.001686213174315108,0.23333312456591063,point estimate
women,2791462,Religion ,3445,0.001234120328344072,0.20975305507984146,point estimate
women,2791462,Sexual Language,12735,0.004562125509858275,0.31595465182540583,point estimate
women,2791462,Sexuality,422,0.00015117526228191535,0.10208938034950658,point estimate
women,2791462,Socioeconomic Status/Spending/Poverty,5760,0.0020634348595825413,0.2514327534699817,point estimate
women,2791462,Testimony re Gender-Based Violence ,8201,0.002937887028374379,0.27618557411523426,point estimate
women,2791462,Women’s Non-Domestic Work,5429,0.0019448590022002807,0.24155323628487366,point estimate
men,1145425,Characterization,15763,0.013761704170940917,0.4254551450034553,bootstrap 1
men,1145425,Clothing/Makeup/Appearance ,1833,0.0016002793722853963,0.23471620758694156,bootstrap 1
men,1145425,Drugs and Addiction,7208,0.006292860728550538,0.3771623037822167,bootstrap 1
men,1145425,Emotions,2414,0.002107514677957963,0.2570906716537567,bootstrap 1
men,1145425,Explicit Reference to Defendant’s Gender ,1742,0.0015208328786258376,0.22084526194701257,bootstrap 1
men,1145425,Figurative/Metaphorical Language,1567,0.0013680511600497635,0.2091053725919276,bootstrap 1
men,1145425,Gender and Gender Roles,7993,0.0069781958661632145,0.35484746060359557,bootstrap 1
men,1145425,Immigration,3153,0.002752690049544929,0.27826316228109005,bootstrap 1
men,1145425,Intimate Partner Relationships,2614,0.0022821223563306197,0.2616821018530589,bootstrap 1
men,1145425,Mental Health/Mental Disability,17410,0.015199598402339743,0.47220360616893564,bootstrap 1
men,1145425,Parenting Language,39324,0.03433136172163171,0.5248801694648138,bootstrap 1
men,1145425,Racial Tropes,2131,0.0018604448130606543,0.24408659021497162,bootstrap 1
men,1145425,Religion ,1694,0.0014789270358164,0.22918073137783773,bootstrap 1
men,1145425,Sexual Language,5523,0.004821791038260907,0.3246156827081836,bootstrap 1
men,1145425,Sexuality,98,8.555776240260166e-05,0.07638004308708549,bootstrap 1
men,1145425,Socioeconomic Status/Spending/Poverty,2200,0.0019206844620992208,0.2422638346256597,bootstrap 1
men,1145425,Testimony re Gender-Based Violence ,4254,0.0037139053189864024,0.30918213311811027,bootstrap 1
men,1145425,Women’s Non-Domestic Work,2627,0.002293471855424842,0.26410441418127784,bootstrap 1
women,2787245,Characterization,37976,0.013624923535605947,0.42333551838393285,bootstrap 1
women,2787245,Clothing/Makeup/Appearance ,3748,0.0013446970036720847,0.21515794838100422,bootstrap 1
women,2787245,Drugs and Addiction,9875,0.0035429250030047594,0.2829991944725585,bootstrap 1
women,2787245,Emotions,4883,0.0017519091432579483,0.23439956667939216,bootstrap 1
women,2787245,Explicit Reference to Defendant’s Gender ,5109,0.0018329927939596269,0.24245308730579013,bootstrap 1
women,2787245,Figurative/Metaphorical Language,5350,0.0019194581028937178,0.24768707274088703,bootstrap 1
women,2787245,Gender and Gender Roles,20523,0.007363184793586499,0.3645045669739173,bootstrap 1
women,2787245,Immigration,6675,0.0023948379134234705,0.2595464674494069,bootstrap 1
women,2787245,Intimate Partner Relationships,5637,0.0020224271637405396,0.24634343991101837,bootstrap 1
women,2787245,Mental Health/Mental Disability,26220,0.009407138590256686,0.3714856257884181,bootstrap 1
women,2787245,Parenting Language,83627,0.03000346220012952,0.49068223672500655,bootstrap 1
women,2787245,Racial Tropes,4748,0.0017034742191662376,0.23356260324309525,bootstrap 1
women,2787245,Religion ,3395,0.0012180486466026488,0.207987408510583,bootstrap 1
women,2787245,Sexual Language,12990,0.0046605160292690455,0.31914078411523017,bootstrap 1
women,2787245,Sexuality,412,0.00014781621278359095,0.10039480154217122,bootstrap 1
women,2787245,Socioeconomic Status/Spending/Poverty,5646,0.002025656158679987,0.24879602646778815,bootstrap 1
women,2787245,Testimony re Gender-Based Violence ,8135,0.002918652648044933,0.2740881006605011,bootstrap 1
women,2787245,Women’s Non-Domestic Work,5323,0.0019097711180753754,0.24100142640276942,bootstrap 1
