gender,total_words,theme,theme_keyword_count,theme_keyword_normalized_term_frequency,theme_cSFIDF,id
men,5690431,Characterization,70998,0.012476735066289355,0.4042384075619284,point estimate
men,5690431,Clothing/Makeup/Appearance ,7475,0.0013136087582821055,0.21075298334542616,point estimate
men,5690431,Drugs and Addiction,30159,0.005299950038933782,0.32911968970415256,point estimate
men,5690431,Emotions,7008,0.0012315411609419393,0.20503614888147778,point estimate
men,5690431,Explicit Reference to Defendant’s Gender ,5804,0.0010199578907116175,0.18232403491084254,point estimate
men,5690431,Figurative/Metaphorical Language,10941,0.001922701461453447,0.2484035493669269,point estimate
men,5690431,Gender and Gender Roles,32659,0.005739284071804051,0.33086797568041965,point estimate
men,5690431,Immigration,15490,0.0027221136676641895,0.2753844053775903,point estimate
men,5690431,Intimate Partner Relationships,7694,0.0013520944195615412,0.20847082542946818,point estimate
men,5690431,Mental Health/Mental Disability,49571,0.008711290937364849,0.3813539700712577,point estimate
men,5690431,Parenting Language,115323,0.020266127469079232,0.4534787507314681,point estimate
men,5690431,Racial Tropes,15530,0.0027291430121901133,0.28300612935176367,point estimate
men,5690431,Religion ,6082,0.0010688118351667914,0.20067828935529236,point estimate
men,5690431,Sexual Language,21507,0.0037795028179763534,0.27610194936372806,point estimate
men,5690431,Sexuality,485,8.523080237683226e-05,0.07442627169183397,point estimate
men,5690431,Socioeconomic Status/Spending/Poverty,15165,0.002665000243391054,0.26726714094169635,point estimate
men,5690431,Testimony re Gender-Based Violence ,18787,0.0033015073902135004,0.2915898665433537,point estimate
men,5690431,Women’s Non-Domestic Work,9892,0.0017383569012610818,0.23595202071270943,point estimate
women,6354637,Characterization,94913,0.014936022309378176,0.4422874074545312,point estimate
women,6354637,Clothing/Makeup/Appearance ,10543,0.0016591034232167786,0.2368522109345039,point estimate
women,6354637,Drugs and Addiction,36087,0.005678845227508668,0.3406810627194962,point estimate
women,6354637,Emotions,10516,0.0016548545573885653,0.2376763040675423,point estimate
women,6354637,Explicit Reference to Defendant’s Gender ,14235,0.0022400964838746886,0.2702005100650162,point estimate
women,6354637,Figurative/Metaphorical Language,10000,0.0015736540104493773,0.22472764220738026,point estimate
women,6354637,Gender and Gender Roles,44711,0.0070359644461202115,0.366342826519106,point estimate
women,6354637,Immigration,15392,0.0024221682528836816,0.25976962586337987,point estimate
women,6354637,Intimate Partner Relationships,13154,0.002069984485345111,0.25794393510324526,point estimate
women,6354637,Mental Health/Mental Disability,53387,0.00840126666558609,0.3745065326881368,point estimate
women,6354637,Parenting Language,144512,0.02274118883580604,0.48037250168991313,point estimate
women,6354637,Racial Tropes,11324,0.0017820058014328748,0.22868477473390886,point estimate
women,6354637,Religion ,6946,0.0010930600756581376,0.20294192668129565,point estimate
women,6354637,Sexual Language,46761,0.0073585635182623335,0.38525533157476527,point estimate
women,6354637,Sexuality,1415,0.0002226720424785869,0.1202986688898627,point estimate
women,6354637,Socioeconomic Status/Spending/Poverty,19017,0.002992617831671581,0.28321912130511007,point estimate
women,6354637,Testimony re Gender-Based Violence ,19106,0.00300662335236458,0.2782632180832754,point estimate
women,6354637,Women’s Non-Domestic Work,11172,0.0017580862604740445,0.23728720343072576,point estimate
men,5695658,Characterization,71429,0.012540956637494736,0.40503469458615526,bootstrap 1
